Skill Name,Power,Pokemon Count,Pokemon Names
ENFLAME,0,10,"Armadigo; Armadrillo; Fierodor; Menza; Pangrill; Pyropine; Scarnyx; Scorchite; Spyropine; Torchip"
Enrage,0,23,"Aquadux; Bobolt; Dropkola; Dropkolyx; Duxedo; Duxnite; Fierodor; Flowingo; Flowmingona; Gomingo; Jojolt; Kikflick; Menza; Mystrix; Pangrill; Platagon; Platypad; Quacko; Shadowl; Torney; Una; Unarodin; Unexus"
GOLDEN REVIVE,0,0,
GOLDEN SHIELD,0,0,
HEALING RAINS,0,11,"Aquadux; Duxedo; Duxnite; Empengon; Hydron; Hydroza; Nootnoot; Pengoo; Slail; Sluglug; Tentapod"
ICE SHIELD,0,5,"Hydraphant; Slail; Sluglug; Snorkoth; Snorky"
RAGE FIRE RING,0,2,"Armadigo; Armadrillo"
RECHARGE,0,9,"Beebot; Blitzle; Boltage; Cybeenyx; Cybuzz; Humbrine; Humbroxa; Humzee; Tazer"
Revive,0,16,"Aviatos; Dropkola; Dropkolyx; Elvee; Elveelynx; Elydjin; Fenecorn; Flianys; Fligoss; Hydraphant; Hydron; Hydroza; Kikflick; Snorkoth; Snorky; Tentapod"
ROCK SHIELD,0,0,
SOLAR FIRE,0,4,"Elydjin; Platagon; Platypad; Quacko"
